id,Author,Text,User Location,Tweet Country,created_at
1356279752819032070,simonlysander,"RT @StuJT: “To clear the pathway for this, govs must also urgently back the proposal tabled to the #WTO to temporarily waive intellectual p…",Vancouver,None,2021-02-01 16:34:26
1356279752013840384,Marco_Piani,@andrew_croxford @BallouxFrancois Here plots of cumulative gap in weekly death rates (for all countries in the shor… https://t.co/uRla0EtCeE,Canada,None,2021-02-01 16:34:25
1356279753175609350,ChildrenofPeace,"#ISRAEL transfers 5,000 Covid-19 vaccine doses to the #Palestinian Authority for frontline medical workers Defence… https://t.co/R1ylQpNog1",UK,None,2021-02-01 16:34:26
1356279755918733317,mattmaisonRE,"RT @YahooFinance: Eviction protections could have cut COVID-19 deaths by 40.7%, study finds https://t.co/yZHZvAYJaE by @dsinghx https://t.c…",Manhattan via AZ,None,2021-02-01 16:34:26
1356279755973148689,heyPAIDA,RT @gchelwa: The said study was conducted at a single hospital in Lusaka with a sample size of 372 and the @FinancialTimes is comfortable i…,"WishANigga Woods, New Zealand",None,2021-02-01 16:34:26
1356279757382434817,MichaelMolnar75,RT @COVID19Tracking: More Black Americans have died of COVID-19 than there are names on the Vietnam Memorial. More Black or Latinx people h…,,None,2021-02-01 16:34:27
1356279757634093064,twomanyashleys2,"RT @luckytran: Western Australia just confirmed its *first* COVID-19 case in 10 months. The response? Full lockdown &amp; mandatory masks.

The…",,None,2021-02-01 16:34:27
1356279759500685314,nataliramirezdc,DID YOU KNOW? All 5 vaccines with public results have eliminated Covid-19 deaths. They have also drastically reduce… https://t.co/O6jDpMiw4V,"Washington, DC",None,2021-02-01 16:34:27
1356279759622311939,Crippsy1969,"RT @ProvoGal01: VOLUNTARY they said 
That was a bold faced lie 
If it's voluntary, why are healthy Canadians being kidnapped &amp; sent to thes…",🇨🇦❤️🇺🇸,None,2021-02-01 16:34:27
1356279759743852544,dedeqrizwan,RT @ayshardzn: Perth now under full lockdown for 5 days after one COVID-19 case detected. One.,,None,2021-02-01 16:34:27
1356279760104599564,Yamiche,Andy Slavitt announces there will be at home COVID-19 test kits that will be able to detect the virus through a sel… https://t.co/nivNnUnl2E,"Washington, DC",None,2021-02-01 16:34:27
1356279760914149376,aboyhasaname,"RT @MhssNamibia: COVID-19 UPDATE

New cases:  224
Deaths:  1
Recoveries: 186
Hospitalized cases: 153 (15 in ICU) https://t.co/x3ulhOgsXk",,None,2021-02-01 16:34:28
1356279760901591040,Grado779,RT @SLOTE3: And yet the South African #covidvariant has only just arrived in lovely Italy. Madness to open Colosseum. #VaccineforSouthAfrica,London,None,2021-02-01 16:34:28
1356279761429938176,realVicTorres02,"RT @JetkarUK: TODAY at around 15.00 GMT, I will be playing and streaming by @SCSsoftware ETS 2 Hauling Covid-19  Vaccines event on my @Twit…","San Pablo City, Philippines",None,2021-02-01 16:34:28
1356279761555886086,BigDumbSwede,"Jailed Right-wing terrorists are now arguing to be released on own recognizance due to the risk of COVID-19 infection. 🤯
I'm speechless. 😶","IKEA, Sweden",None,2021-02-01 16:34:28
1356279762080002048,kencf0618,RT @StLukesHealth: We are experiencing high call volumes in response to expanded COVID vaccination scheduling. Vaccine supplies in Idaho ar…,UTC-7 MST,None,2021-02-01 16:34:28
1356279762377912320,JKealing,"RT @SabrinaSiddiqui: At WH Covid-19 briefing, @ASlavitt announces the Biden administration is approving an over-the-counter, self-administe…","Minneapolis, MN",None,2021-02-01 16:34:28
1356279763497869314,likerofSocrates,"RT @indepdubnrth: Please share and Tweet. Dr Pat Morrissey, has been standing up for his patients, for the victims of Covid-19,  and the vi…",,None,2021-02-01 16:34:28
1356279764106047488,b_dburgess,"RT @twithersAP: #Indians announce spring training complex in Goodyear, Arizona, will not be open to fans for spring training  due to the CO…","Struthers, OH",None,2021-02-01 16:34:28
1356279765448216579,antivaxdazza,"RT @weaponizedword1: Vigiaccess - 53,763 Adverse Reaction Reports for the Covid-19 vaccine https://t.co/psSctgZ0Tk",Shropshire UK,None,2021-02-01 16:34:29
1356279766081368064,Elizabe66124964,RT @GiannoCaldwell: NY Gov.Cuomo sent thousands of seniors to their deaths &amp; tried to cover it up. On this week's Outloud with Gianno Caldw…,,None,2021-02-01 16:34:29
1356279767641829378,slimchick1900,RT @CBCAlerts: Quebec reports 890 new COVID-19 cases and 32 additional deaths. This is the province's lowest one-day new case total since N…,Trinidad,None,2021-02-01 16:34:29
1356279767687946240,AnyPollApp,Oversight Board reverses Facebook removal of post touting hydroxychloroquine in COVID-19 treatment...… https://t.co/LZRr2msNyy,United States,None,2021-02-01 16:34:29
1356279768098996225,ClearJunction,"RT @thefintechtimes: The MENA Future of Fintech, 2021 virtual event is taking place on the 9th &amp; 10th Feb hosted by @NispanaOfficial .The t…",London,None,2021-02-01 16:34:29
1356279768660918280,_Nurainatiqah,RT @mindofanisa: inna lillahi wa inna ilayhi raajiun. my mom passed away from COVID-19 this morning. please keep me and my family in your p…,,None,2021-02-01 16:34:29
1356279769294397440,JimJones2020,"RT @SabrinaSiddiqui: At WH Covid-19 briefing, @ASlavitt announces the Biden administration is approving an over-the-counter, self-administe…",,None,2021-02-01 16:34:30
1356279770716127232,ppavnr,"RT @SabrinaSiddiqui: At WH Covid-19 briefing, @ASlavitt announces the Biden administration is approving an over-the-counter, self-administe…",,None,2021-02-01 16:34:30
1356279771559182350,bear_risa,New Iowa COVID-19 Vaccination Dashboard Features Where to Get One - WVIK https://t.co/mChSCN44mc via @GoogleNews,"Oregon, USA",None,2021-02-01 16:34:30
1356279771634806792,RealDanielWM_,"RT @TexasTribune: The virus has overwhelmed hospitals in Laredo. Mayra Gomez, a medical assistant in town, says she wants everyone in her h…","Florida, United States",None,2021-02-01 16:34:30
1356279772280545280,milika369,"RT @WakeAustralia: You trust CSL to produce Australia’s Covid-19 vaccine?

Blood believed to be infected with the potentially fatal hepatit…",Australia,None,2021-02-01 16:34:30
1356279774201581568,island_grace,"RT @luckytran: Western Australia just confirmed its *first* COVID-19 case in 10 months. The response? Full lockdown &amp; mandatory masks.

The…","Okinawa-shi, Okinawa",None,2021-02-01 16:34:31
